ds,y
2018-01-01,8.0
2018-01-02,2.0
2018-01-04,3.0
2018-01-05,6.0
2018-01-06,5.5
2018-01-07,5.0
2018-01-08,3.5
2018-01-09,0.5
2018-01-10,6.5
2018-01-11,8.5
2018-01-12,11.5
2018-01-13,8.5
2018-01-14,10.5
2018-01-16,1.0
2018-01-17,3.5
2018-01-18,2.5
2018-01-19,5.0
2018-01-20,8.5
2018-01-21,15.0
2018-01-22,1.5
2018-01-23,1.5
2018-01-24,3.5
2018-01-25,2.0
2018-01-26,6.5
2018-01-27,4.0
2018-01-28,4.0
2018-01-30,3.0
2018-02-01,3.0
2018-02-02,7.0
2018-02-03,7.5
2018-02-04,4.5
2018-02-05,0.5
2018-02-06,1.5
2018-02-07,4.5
2018-02-08,4.0
2018-02-09,5.5
2018-02-10,13.5
2018-02-11,7.5
2018-02-12,1.0
2018-02-13,6.5
2018-02-14,8.5
2018-02-15,12.5
2018-02-16,8.0
2018-02-17,9.5
2018-02-18,2.5
2018-02-19,6.0
2018-02-20,2.5
2018-02-21,1.5
2018-02-23,5.0
2018-02-24,4.5
2018-02-25,5.5
2018-02-26,1.5
2018-02-27,2.5
2018-02-28,3.5
2018-03-01,2.5
2018-03-02,6.5
2018-03-03,3.5
2018-03-04,8.0
2018-03-05,1.0
2018-03-06,2.5
2018-03-09,3.0
2018-03-10,7.0
2018-03-11,6.5
2018-03-12,4.5
2018-03-14,2.5
2018-03-16,3.0
2018-03-17,3.5
2018-03-18,8.0
2018-03-19,2.0
2018-03-20,2.5
2018-03-21,1.0
2018-03-22,2.0
2018-03-23,4.5
2018-03-24,6.5
2018-03-25,10.5
2018-03-26,1.5
2018-03-27,4.0
2018-03-28,2.5
2018-03-29,4.0
2018-03-30,10.5
2018-03-31,6.5
2018-04-01,8.0
2018-04-03,1.5
2018-04-05,1.5
2018-04-06,5.0
2018-04-07,11.0
2018-04-08,8.5
2018-04-10,0.5
2018-04-11,0.5
2018-04-12,1.5
2018-04-13,7.5
2018-04-14,8.5
2018-04-15,5.5
2018-04-16,4.5
2018-04-17,0.5
2018-04-18,2.0
2018-04-20,13.5
2018-04-21,13.0
2018-04-22,9.0
2018-04-23,6.0
2018-04-24,1.5
2018-04-25,2.0
2018-04-26,1.5
2018-04-27,7.0
2018-04-28,10.0
2018-04-29,3.5
2018-04-30,6.5
2018-05-01,15.0
2018-05-02,2.5
2018-05-03,1.5
2018-05-04,5.0
2018-05-05,6.0
2018-05-06,9.0
2018-05-08,1.5
2018-05-10,4.0
2018-05-11,5.0
2018-05-12,10.5
2018-05-13,21.5
2018-05-15,2.0
2018-05-16,0.5
2018-05-17,1.5
2018-05-18,7.0
2018-05-19,8.5
2018-05-20,7.5
